0.511,0.485,0.272,0.285,0.653,0.412,0.312,0.225,0.401,0.176,0.259,0.336,0.369,0.231
0.624,0.505,0.355,0.358,0.67,0.535,0.374,0.314,0.562,0.258,0.335,0.425,0.437,0.342
0.662,0.555,0.451,0.561,0.732,0.692,0.331,0.399,0.647,0.341,0.506,0.495,0.526,0.427
0.739,0.614,0.612,0.739,0.763,0.736,0.496,0.458,0.669,0.398,0.698,0.533,0.631,0.533
0.791,0.695,0.674,0.779,0.799,0.771,0.581,0.577,0.754,0.572,0.717,0.608,0.709,0.667
0.813,0.827,0.794,0.802,0.794,0.806,0.675,0.602,0.778,0.648,0.713,0.671,0.73,0.762
0.833,0.833,0.84,0.789,0.799,0.834,0.779,0.759,0.824,0.723,0.742,0.785,0.854,0.824
0.862,0.858,0.933,0.853,0.814,0.867,0.826,0.806,0.916,0.794,0.86,0.843,0.913,0.869
0.854,0.879,0.923,0.842,0.807,0.882,0.811,0.824,0.916,0.791,0.983,0.859,0.921,0.894
0.859,0.882,0.921,0.842,0.819,0.885,0.815,0.831,0.933,0.82,0.994,0.865,0.925,0.895
