0.0094,0.061,0,0,0.113,0.032,0.0053,0.018,0,0,0,0.0012,0.0811,0.071
0.217,0.134,0.127,0.109,0.271,0.149,0.128,0.107,0.113,0.126,0.173,0.116,0.106,0.133
0.385,0.312,0.282,0.271,0.362,0.298,0.341,0.137,0.231,0.284,0.349,0.234,0.169,0.285
0.418,0.422,0.377,0.368,0.478,0.421,0.477,0.389,0.382,0.371,0.477,0.462,0.298,0.412
0.509,0.517,0.492,0.63,0.602,0.569,0.562,0.486,0.467,0.521,0.624,0.656,0.424,0.672
0.725,0.63,0.594,0.732,0.793,0.611,0.711,0.617,0.576,0.699,0.796,0.726,0.596,0.793
0.805,0.719,0.708,0.848,0.877,0.794,0.876,0.786,0.782,0.734,0.872,0.829,0.716,0.842
0.825,0.781,0.834,0.881,0.906,0.865,0.941,0.823,0.876,0.816,0.983,0.892,0.871,0.946
0.888,0.809,0.846,0.926,0.912,0.888,0.963,0.847,0.893,0.905,0.999,0.894,0.916,0.97
0.889,0.813,0.866,0.921,0.923,0.898,0.967,0.85,0.901,0.911,1,0.899,0.908,1
