0.086,0,0.052,0.0056,0.0061,0,0.0041,0,0.013,0.0168,0.0124,0.102,0
0.186,0.247,0.231,0.142,0.116,0,0.132,0.064,0.212,0.185,0.231,0.226,0.157
0.296,0.364,0.335,0.356,0.185,0.281,0.229,0.211,0.347,0.355,0.374,0.315,0.287
0.465,0.449,0.495,0.442,0.332,0.339,0.348,0.354,0.421,0.452,0.461,0.456,0.331
0.638,0.566,0.612,0.621,0.547,0.527,0.477,0.437,0.606,0.559,0.624,0.562,0.551
0.886,0.762,0.806,0.716,0.701,0.636,0.562,0.679,0.785,0.769,0.718,0.664,0.759
0.846,0.871,0.826,0.779,0.792,0.862,0.774,0.744,0.884,0.895,0.859,0.816,0.875
0.885,0.888,0.926,0.826,0.816,0.882,0.862,0.746,0.899,0.988,0.884,0.957,0.876
0.891,0.864,0.932,0.826,0.863,0.881,0.996,0.745,0.847,0.988,0.898,0.953,0.865
0.897,0.864,0.932,0.826,0.889,0.883,1,0.744,0.831,0.986,0.893,0.956,0.886
