0,0,0,0,0,0,0,0,0,0,0,0
0.045711,0.022695,0.0064765,0.026347,0.0145289,0,0.096583,0.0459672,0.0052146,0.041786,0.009137,0.004521
0.0856712,0.05947631,0.04632977,0.1256374,0.0852463,0.0526411,0.1124863,0.1453485,0.075233,0.086995,0.074523,0.025475
0.2626475,0.1536952,0.12654904,0.15246723,0.3452795,0.151476,0.215864,0.2256795,0.1452962,0.123419,0.125367,0.134792
0.4263476,0.21947366,0.1965723,0.2564188,0.5564237,0.3056442,0.5524796,0.3531423,0.1965427,0.2025613,0.264529,0.215633
0.956933,0.6206304,0.4241674,0.7546302,1.056426,0.758771,1.26347,0.8563479,0.4634579,0.5246912,0.46278,0.386821
1.8567133,0.962351863,0.8264119,1.256722,2.152867,1.5695427,1.96523477,1.73564,0.9864892,0.9562193,0.87429,0.784192
1.9924763,1.163596,1.1357466,1.42563449,2.563499,1.82651422,2.2563489,2.25964,1.23648,1.16396,1.092247,0.910163
2.368512,1.1342567,1.2636974,1.595589,2.65249,1.8964135,2.3625499,2.1526479,1.362889,1.32634,1.112478,0.9527854
2.3862547,1.1965341,1.26352749,1.60124793,2.745013,1.89041375,2.4256796,2.264193,1.325419,1.315269,1.102364,0.963178
